,Field-ID,continous,corresponding-column,use-2-Label
1,12144,1,,1
63,12336,1,,1
64,12338,1,,1
65,12340,1,,1
66,12673,1,,1
67,12674,1,,1
68,12675,1,,1
69,12676,1,,1
70,12677,1,,1
71,12678,1,,1
72,12679,1,,1
73,12680,1,,1
74,12681,1,,1
75,12682,1,,1
76,12683,1,,1
77,12684,1,,1
78,12685,1,,1
79,12686,1,,1
80,12687,1,,1
81,12702,1,,1
83,22330,1,,1
84,22333,1,,1
85,22334,1,,1
86,22420,1,,1
87,22421,1,,1
88,22422,1,,1
89,22423,1,,1
90,22424,1,,1
91,22425,1,,1
92,22426,1,,1
93,22427,1,,1
